Opened ..\..\URL-input-1M.txt with size 66152005
[  2]    3818 Q 955898 E   44106 H   7321 D   6078 I  3944 R    60 C    26 L    0K
*** crawling 13.0 pps @ 5.0 Mbps
[  4]    7808 Q 905060 E   94944 H  14387 D  12410 I  8491 R   160 C    95 L    2K
*** crawling 34.5 pps @ 8.4 Mbps
[  6]   10000 Q 874520 E  125484 H  18717 D  16241 I 11244 R   275 C   177 L    3K
*** crawling 41.0 pps @ 13.8 Mbps
[  8]   10000 Q 867461 E  132543 H  19784 D  17169 I 11893 R   390 C   296 L    8K
*** crawling 59.5 pps @ 10.0 Mbps
[ 88]   10000 Q 558893 E  441111 H  64700 D  55988 I 38296 R  5169 C  5043 L  146K
*** crawling 70.0 pps @ 11.7 Mbps
[ 90]   10000 Q 550296 E  449708 H  65931 D  57105 I 39013 R  5292 C  5162 L  149K
*** crawling 59.5 pps @ 7.6 Mbps
[ 92]   10000 Q 541745 E  458259 H  67128 D  58158 I 39690 R  5430 C  5286 L  153K
*** crawling 62.0 pps @ 9.7 Mbps
[ 94]   10000 Q 532487 E  467517 H  68312 D  59205 I 40364 R  5572 C  5437 L  157K
*** crawling 75.5 pps @ 9.6 Mbps
[ 96]   10000 Q 522538 E  477466 H  69596 D  60371 I 41081 R  5689 C  5562 L  159K
*** crawling 62.5 pps @ 6.2 Mbps
[ 98]   10000 Q 511034 E  488970 H  70765 D  61348 I 41689 R  5813 C  5684 L  162K
*** crawling 61.0 pps @ 8.0 Mbps
[100]   10000 Q 498060 E  501944 H  71917 D  62345 I 42348 R  5945 C  5810 L  166K
*** crawling 63.0 pps @ 8.4 Mbps
[102]   10000 Q 485145 E  514859 H  73081 D  63337 I 42977 R  6096 C  5949 L  168K
*** crawling 69.5 pps @ 8.1 Mbps
[104]   10000 Q 474846 E  525158 H  74267 D  64332 I 43609 R  6224 C  6098 L  172K
*** crawling 74.5 pps @ 9.4 Mbps
[106]   10000 Q 465074 E  534930 H  75497 D  65361 I 44232 R  6347 C  6215 L  177K
*** crawling 58.5 pps @ 15.1 Mbps
[108]   10000 Q 455284 E  544720 H  76686 D  66371 I 44851 R  6482 C  6356 L  181K
*** crawling 70.5 pps @ 11.1 Mbps
[110]   10000 Q 446003 E  554001 H  77949 D  67482 I 45526 R  6601 C  6465 L  184K
*** crawling 54.5 pps @ 11.5 Mbps
[112]   10000 Q 437697 E  562307 H  79238 D  68608 I 46185 R  6725 C  6585 L  187K
*** crawling 60.0 pps @ 10.2 Mbps
[114]   10000 Q 429392 E  570612 H  80641 D  69825 I 46873 R  6851 C  6715 L  191K
*** crawling 65.0 pps @ 12.0 Mbps
[116]   10000 Q 420342 E  579662 H  82048 D  70982 I 47497 R  6970 C  6834 L  195K
*** crawling 59.5 pps @ 10.8 Mbps
[118]   10000 Q 408030 E  591974 H  83660 D  72365 I 48208 R  7087 C  6947 L  199K
*** crawling 56.5 pps @ 10.6 Mbps
[120]   10000 Q 396731 E  603273 H  85240 D  73658 I 48795 R  7202 C  7061 L  204K
*** crawling 57.0 pps @ 12.4 Mbps
[122]   10000 Q 383561 E  616443 H  87052 D  75276 I 49481 R  7341 C  7201 L  210K
*** crawling 70.0 pps @ 15.5 Mbps
[124]   10000 Q 369661 E  630343 H  88968 D  76957 I 50177 R  7467 C  7331 L  214K
*** crawling 65.0 pps @ 10.5 Mbps
[126]   10000 Q 353568 E  646436 H  91057 D  78701 I 50830 R  7595 C  7460 L  217K
*** crawling 64.5 pps @ 10.2 Mbps
[128]   10000 Q 340357 E  659647 H  93020 D  80397 I 51526 R  7725 C  7577 L  220K
*** crawling 58.5 pps @ 10.7 Mbps
[130]   10000 Q 327444 E  672560 H  94939 D  81922 I 52098 R  7849 C  7715 L  225K
*** crawling 69.0 pps @ 11.9 Mbps
[132]   10000 Q 314285 E  685719 H  96844 D  83550 I 52766 R  7961 C  7823 L  229K
*** crawling 54.0 pps @ 11.2 Mbps
